pentad,2015-2017_Apr_mean,2015-2017_Aug_mean,2015-2017_Dec_mean,2015-2017_Feb_mean,2015-2017_Jan_mean,2015-2017_July_mean,2015-2017_June_mean,2015-2017_Mar_mean,2015-2017_May_mean,2015-2017_Nov_mean,2015-2017_Oct_mean,2015-2017_Sep_mean,2015_Apr_mean,2015_Aug_mean,2015_Dec_mean,2015_Feb_mean,2015_Jan_mean,2015_July_mean,2015_June_mean,2015_Mar_mean,2015_May_mean,2015_Nov_mean,2015_Oct_mean,2015_Sep_mean,2016_Apr_mean,2016_Aug_mean,2016_Dec_mean,2016_Feb_mean,2016_Jan_mean,2016_July_mean,2016_June_mean,2016_Mar_mean,2016_May_mean,2016_Nov_mean,2016_Oct_mean,2016_Sep_mean,2017_Feb_mean,2017_Jan_mean,2017_Mar_mean,mean_all
3155_2600,0.2953957551016361,0.22256894937816774,0.18585465510423332,0.2557700243135932,0.22324054398783438,0.23823542570403033,0.25869524589473897,0.28548825248399845,0.2881103684748954,0.19020704026483634,0.19696561894282727,0.21174389740103586,0.31819582827008963,0.237000674467062,0.18114678742670381,0.22407274297482574,0.25113775643092245,0.2484592369534005,0.2641646400558813,0.2517069785772965,0.29716126792597636,0.19446169382880224,0.2092812044901636,0.23225075152257216,0.27829570216892574,0.2081372239653352,0.19056252296485837,0.22890397619688443,0.18776124116519224,0.22801161416593255,0.25322585138853193,0.3022745493482552,0.27604250162699046,0.18453416970535577,0.18772892994781523,0.19123704449074705,0.31433335521974953,0.23082263455048402,0.31947820409005667,0.23857398239617536
3155_2605,0.3422403202827013,0.23994530699372518,0.20436131328147164,0.2893668243235474,0.25037760265692643,0.2604731355348359,0.29079079102647326,0.32696634933831337,0.3310048430594695,0.21027417171091572,0.21733648590532278,0.22607058769053232,0.35206320181855183,0.253178463090345,0.19938901809021295,0.2516882889015012,0.27941333960974146,0.27209369657959065,0.2991953652232378,0.2841293396241611,0.334802359751019,0.21327962541850617,0.22897120220111314,0.24259368354183514,0.33487315767485165,0.22671215245341758,0.2093336090361013,0.28435562007368625,0.21923947371612876,0.2488525727154627,0.2823862180972933,0.36587005880413076,0.32594148671722817,0.2062669017392656,0.208610449042629,0.2095474919941565,0.33205656519261784,0.25247999432097085,0.334832947250519,0.2669187889756575
3155_2610,0.40110877238965276,0.27914921482413263,0.23117708209402357,0.33758070018008063,0.29482198820882766,0.3027051330701716,0.34285176398575473,0.38008726653569724,0.38104888465975745,0.24203736742374304,0.2583305945587202,0.26673134975307633,0.3971069516626141,0.2840552524448985,0.23053923693798295,0.321433516438089,0.34239063355434174,0.30803950829819104,0.34916775974821535,0.34251190389090397,0.3821958881164457,0.24176858827320102,0.260318632131644,0.2722132495439902,0.40411013739733204,0.2742431769276746,0.23181492913855545,0.3324771594466378,0.27128941800090367,0.2973707569254757,0.33653576901590904,0.42078340879256365,0.37951954675426536,0.2423957397163631,0.2568395670010578,0.26124944933496286,0.3588314265784679,0.2707859139672371,0.3738457056711825,0.31125784974810594
3155_2615,0.4609924562712022,0.28499468831461633,0.26878940036594307,0.41597973759548423,0.34517512785971505,0.3047872269156412,0.3529100900618025,0.4545874822680576,0.4066110875858927,0.2872034984241136,0.3172664942962799,0.32020478107612615,0.4352214582024991,0.2916066618618645,0.26671149818286555,0.37992596998106554,0.40586014683508015,0.30994811344236867,0.3575251124137291,0.3864730293871324,0.40480980586915477,0.28907095372592345,0.3311300310526318,0.33399516998284934,0.4803207047241397,0.2783827145983569,0.27086730239409357,0.41724111664413505,0.31181518694769683,0.29962633905090774,0.3482950688225335,0.5193614166772208,0.40901279691712394,0.2847135596061812,0.30686884015685895,0.30641439047224805,0.45077212519647947,0.31785004898652236,0.46126852202843627,0.3552719350967605
3155_2620,0.4293762437562636,0.25584632777283234,0.22992170284482844,0.3792463515960877,0.2902059190975245,0.26162593059650213,0.3031257217880233,0.4327833964885521,0.3621873752353097,0.24662808994348873,0.2791041845705762,0.2898903183624965,0.4294086069798199,0.2647522409254639,0.22737659818170652,0.3510206863424954,0.3640828145586926,0.2721702385912095,0.3193416495742329,0.36830977708213947,0.37746137434120214,0.2448719954558266,0.28347444446979264,0.30502818398079035,0.4293519725815335,0.24694041407091405,0.2324668084023017,0.36997958751560833,0.2540051178805995,0.25108162127787315,0.28690979463560595,0.5015210502258095,0.34182204482179057,0.24896954829559886,0.27582648890145783,0.27475245194139913,0.4167387776344395,0.2525298246208909,0.4242553226438497,0.31672169084331486
3155_2625,0.3903439154264334,0.2421967108130014,0.21658838139183537,0.35178229208625544,0.2736692591385087,0.2418688605785039,0.27152768751325485,0.40829303161784747,0.33307292542586603,0.2303504615911833,0.25787037304989396,0.27530409281282486,0.3956892620513662,0.249807488459277,0.21606670885892185,0.31349750071984545,0.3155029707490902,0.24956837397113538,0.28616977933790816,0.3407444551545751,0.35079245893052063,0.22871281846902858,0.2591076236524922,0.28573492092875613,0.3863349049787186,0.23458593334592567,0.21711005451059473,0.35285717350922724,0.2595268215477522,0.23416934774414905,0.2568855956817092,0.47326795824361445,0.30944688100571105,0.2325339840723341,0.2569424351548068,0.2648732630427406,0.3889922024914779,0.24597798567696041,0.4134403359934095,0.29460488723644385
3200_2010,0.17850104296212943,0.2291841510335237,0.1481932707744324,0.15165200367721554,0.14725083941860842,0.24434845556852225,0.23164168996848408,0.1538236837568766,0.2003708708821128,0.1538764677190538,0.16406151569283858,0.19102739737774904,0.16028132695949376,0.22004596788391376,0.14540862510881966,0.14533381586916794,0.14154292543821043,0.22997164854454177,0.1977741882329071,0.14880371200236098,0.1675421307130504,0.1531459671978483,0.16400043046055404,0.19134131093939402,0.19216583078515187,0.23832233547888676,0.15097791653309126,0.1595976820713552,0.14870526960031727,0.2587252632679485,0.2655091919590763,0.15976334990421784,0.2441425239951604,0.15485046954548104,0.16410732983674417,0.19071348299936605,0.15002451201247793,0.15150432274517475,0.15198429637036315,0.17997941148711177
3200_2015,0.18203794412404492,0.24436219942917103,0.1561262243316198,0.16016301625751986,0.1553242467722884,0.25351253396570406,0.23794264583456418,0.16002398228253842,0.20994500653210005,0.162031359570816,0.17491970688214906,0.20639648819195794,0.16747245855222798,0.22368465785788344,0.1521984884630851,0.1551505133826682,0.15092270798588328,0.22528577425020035,0.19560267022922015,0.15464263015480972,0.1777578683761289,0.15929171108708792,0.17011143759954428,0.1990809919076535,0.1929620588465381,0.2650397420480889,0.160053960393139,0.16677634145075473,0.15643098975887573,0.2817392930677927,0.28028262047498564,0.1653055038878644,0.25286119100426657,0.1656842241951098,0.17852590865801043,0.21371198417300102,0.15856219415279807,0.158619042771983,0.16022364430260483,0.18897397891307297
3200_2020,0.169354211668884,0.20643395640128012,0.1396793356783361,0.14742979411020599,0.1401232021454774,0.21778346975230695,0.21049721500570281,0.14766579284258913,0.18407164891147137,0.14331609996911787,0.1538106032582687,0.17694033677624382,0.15637267501700136,0.1857421230803037,0.13349216874569128,0.14076414865206788,0.1382603620939149,0.19347805480252245,0.17513834128907602,0.1422216581368727,0.16091071549194222,0.13801020011811732,0.1451900403368198,0.16551108077512494,0.17909036470166478,0.2271257898504241,0.14586650236476434,0.1561058759352048,0.13752041303798482,0.24208888592980143,0.2458560884727402,0.15510890021373805,0.21495289354504585,0.1503906324606991,0.1602760260193636,0.18836959302020645,0.14541935736221553,0.14458883165867958,0.1436678478422614,0.16756702289693545
3200_2025,0.1698751390793608,0.19439550270701206,0.13280081219633458,0.1450819157470607,0.13724341670483708,0.21987590512172916,0.21638583901246095,0.14615900058792103,0.19099757253820426,0.1353398531702908,0.14612002672832614,0.16553895261266185,0.15491462176343448,0.16990861085749245,0.12722959397334838,0.137416507418127,0.13349082725506817,0.18975549274633374,0.17847263530434335,0.139011198477294,0.16440198293419264,0.13102430355399985,0.13758739154306857,0.15180534147808222,0.1810955269112287,0.218882394859793,0.1383720305261515,0.1557817601811599,0.1393504686357245,0.24999631803472433,0.2542990424655633,0.15437489234179838,0.2264583585895839,0.1410939187107816,0.15251950313105395,0.17927256417456433,0.142047480158818,0.1388889546338107,0.14402282139446645,0.1644882178804204
